period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2022-11-14,2022-11-20,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,39633,39633.333333333336,3,observed,21.271,89.0,82.3,0.459,Dat do vang tren bazan,4,low
2022-11-21,2022-11-27,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,39100,39100.0,1,observed,21.229,91.0,46.4,0.489,Dat do vang tren bazan,4,low
2022-11-28,2022-12-04,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40250,40250.0,2,observed,21.371,85.571,22.2,0.444,Dat do vang tren bazan,4,low
2022-12-05,2022-12-11,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40333,40333.333333333336,3,observed,20.729,88.143,22.9,0.458,Dat do vang tren bazan,4,low
2022-12-12,2022-12-18,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40243,40242.857142857145,7,observed,19.214,84.143,0.4,0.386,Dat do vang tren bazan,4,low
2022-12-19,2022-12-25,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40100,,0,province_proxy,18.186,81.714,0.2,0.324,Dat do vang tren bazan,4,low
2022-12-26,2023-01-01,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40100,40100.0,2,observed,18.4,78.857,2.8,0.284,Dat do vang tren bazan,4,low
2023-01-02,2023-01-08,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,39100,39100.0,2,observed,18.9,89.0,48.2,0.385,Dat do vang tren bazan,4,low
2023-01-09,2023-01-15,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,39389,39388.88888888889,9,observed,20.629,87.0,52.6,0.471,Dat do vang tren bazan,4,low
2023-01-16,2023-01-22,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,40367,40366.666666666664,3,observed,19.443,83.143,2.4,0.368,Dat do vang tren bazan,4,low
